STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Level 1,Minimal,Oct-05-2019,40,2019-20
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Level 1,Minimal,Oct-05-2019,40,2019-20
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations",Level 1,Minimal,Oct-05-2019,40,2019-20
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)",Level 1,Minimal,Oct-05-2019,40,2019-20
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance",Level 2,Minimal,Oct-05-2019,40,2019-20
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,"Flu Statistics",Level 2,Minimal,Oct-05-2019,40,2019-20
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports",Level 1,Minimal,Oct-05-2019,40,2019-20
District of Columbia,https://dchealth.dc.gov/flu%20,"Influenza Information",Level 1,Minimal,Oct-05-2019,40,2019-20
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports",Level 2,Minimal,Oct-05-2019,40,2019-20
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia",Level 2,Minimal,Oct-05-2019,40,2019-20
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program",Level 1,Minimal,Oct-05-2019,40,2019-20
Idaho,http://flu.idaho.gov,"Influenza",Level 1,Minimal,Oct-05-2019,40,2019-20
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,"Seasonal Influenza Surveillance Reports",Level 1,Minimal,Oct-05-2019,40,2019-20
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Level 1,Minimal,Oct-05-2019,40,2019-20
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Level 2,Minimal,Oct-05-2019,40,2019-20
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Level 1,Minimal,Oct-05-2019,40,2019-20
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx,"Influenza - Flu",Level 1,Minimal,Oct-05-2019,40,2019-20
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Level 7,Moderate,Oct-05-2019,40,2019-20
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Level 1,Minimal,Oct-05-2019,40,2019-20
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,"Influenza Surveillance",Level 1,Minimal,Oct-05-2019,40,2019-20
Massachusetts,https://www.mass.gov/influenza,"Influenza Surveillance Data",Level 1,Minimal,Oct-05-2019,40,2019-20
Michigan,http://www.michigan.gov/mdch/0%2C1607%2C7-132-2940_2955_22779_40563_48357-191722--%2C00.html,"Influenza Activity and Surveillance",Level 1,Minimal,Oct-05-2019,40,2019-20
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,"Weekly Influenza Activity: Statistics",Level 4,Low,Oct-05-2019,40,2019-20
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%2C0%2C199%2C230.html,"Mississippi Flu Surveillance and Influenza-Like Illness Reports",Level 1,Minimal,Oct-05-2019,40,2019-20
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,"Influenza Data & Statistical Reports ",Level 1,Minimal,Oct-05-2019,40,2019-20
Montana,http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx,"Influenza: What You Need to Know",Level 1,Minimal,Oct-05-2019,40,2019-20
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,"Weekly Flu Report",Level 1,Minimal,Oct-05-2019,40,2019-20
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",Level 1,Minimal,Oct-05-2019,40,2019-20
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,"Influenza Control and Surveillance",Level 1,Minimal,Oct-05-2019,40,2019-20
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,"Seasonal Influenza - Surveillance",Level 1,Minimal,Oct-05-2019,40,2019-20
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,"Flu in New Mexico",Level 1,Minimal,Oct-05-2019,40,2019-20
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Level 1,Minimal,Oct-05-2019,40,2019-20
North Carolina,http://www.flu.nc.gov/%20,"North Carolina Influenza Update",Level 1,Minimal,Oct-05-2019,40,2019-20
North Dakota,http://www.ndflu.com/default.aspx,"Influenza",Level 1,Minimal,Oct-05-2019,40,2019-20
